produto,price,entregue
Cama Box com Gavetas,401.34,False
Cama Box com Gavetas e Criado-Mudo,340.01,False
Cinto,912.81,True
Recipiente de Higiene,629.08,False
Creme Anti-Idade,490.26,True
Monitor Gamer,398.44,True
Protetor Solar,609.38,True
Recipiente de Limpeza,666.81,True
Cama Box Casal,528.56,False
Cama Box Solteiro,84.18,False
Cama Box com Baú e Cabeceira,634.03,False
Cadeira Dobrável,845.79,True
Sofá,266.44,True
Ultrabook,105.0,False
Cadeira de Escritório,144.99,True
Recipiente de Bebida,662.97,False
Pulseira,742.98,True
Cama Box com Baú e Gavetas,481.88,False
Mesa de Centro,326.63,False
Mini PC,855.86,False
Brinco,85.2,True
Monitor 60Hz,446.81,True
Mesa de Jantar,601.89,False
Anel,269.14,True
Sofá-Cama,200.43,False
Sabonete,478.11,True
Mini PC,842.93,False
Creme Anti-Celulite,646.3,False
Cama Box com Cabeceira e Criado-Mudo,387.18,False
Cama Box King Size,834.07,False
Anel,877.44,True
Guarda-Roupa Casal,346.08,False
Cadeira de Jantar,778.4,False
Monitor 240Hz,131.59,True
Mesa de Escritório,372.93,True
Protetor Solar,871.76,True
Cadeira Dobrável,966.16,True
Creme Anti-Cravos,200.02,True
Creme Anti-Celulite,93.33,False
Escova de Dente,567.0,True
Recipiente de Plástico,476.37,False
Ultrabook,146.12,False
Monitor 165Hz,98.25,False
Cama Box Casal,282.72,True
Desodorante,765.68,True
Cama Box Baú,574.38,True
All-in-One,477.31,False
Monitor 144Hz,207.3,True
Cama Box com Baú e Criado-Mudo,423.12,True
Fio Dental,648.39,False
Sofá,833.47,True
Creme Anti-Irritação,750.26,True
Cadeira Gamer,779.34,False
Cama Box com Gavetas,116.9,False
Cadeira de Jantar,85.57,True
Cama Box com Baú, Gavetas e Cabeceira,657.07,False
Cama Box com Gavetas e Cabeceira,229.24,True
Mesa de Escritório,777.2,False
Guarda-Roupa Embutido,620.86,True
Protetor Labial,727.61,False
Cama Box com Cabeceira e Criado-Mudo,968.68,False
Creme Anti-Celulite,196.38,True
Cama Box com Baú e Gavetas,329.31,False
Guarda-Roupa Planejado,317.57,False
Guarda-Roupa Infantil,557.94,True
Recipiente de Bebida,395.54,False
Brinco,458.36,True
Recipiente de Higiene,884.13,True
Creme Dental,102.68,True
Óculos de Grau,965.91,True
Cadeira de Jantar,209.82,False
Cama Box com Cabeceira e Criado-Mudo,393.55,True
Cadeira de Escritório,393.31,False
Cama Box Solteiro,450.78,False
Creme Anti-Celulite,745.96,True
Netbook,574.92,True
Netbook,787.06,True
Cadeira Gamer,872.17,True
Monitor 165Hz,312.81,False
Recipiente de Alimento,489.15,True
Monitor Gamer,221.76,True
Creme Anti-Irritação,326.95,True
Sofá 4 Lugares,985.56,True
Creme Anti-Irritação,726.97,False
Monitor 75Hz,683.55,False
Recipiente de Limpeza,388.09,False
Creme Anti-Manchas,281.09,False
Computador,225.57,True
Sofá,385.91,False
Monitor,789.71,True
Creme Anti-Acne,265.04,False
Hidratante,770.44,False
Netbook,671.44,False
Monitor 360Hz,76.73,True
Mesa de Jantar,234.47,False
Cama Box Baú,968.36,False
Monitor 60Hz,467.71,True
Cinto,834.48,True
Cadeira de Escritório,975.45,False
Cama Box com Baú, Gavetas e Criado-Mudo,672.15,False
Protetor Labial,230.29,True
Creme Anti-Inflamação,900.1,False
Hidratante,363.71,True
Cama Box King Size,728.47,True
Recipiente de Vidro,358.72,True
Creme Dental,783.15,False
Netbook,897.14,False
Desodorante,140.6,False
Creme Anti-Manchas,429.73,False
Creme Anti-Ressecamento,787.12,False
Monitor 280Hz,710.87,True
Sofá 2 Lugares,995.5,False
Boné,765.79,False
Guarda-Roupa Casal,87.62,False
Monitor Touchscreen,814.11,True
Cadeira de Praia,480.38,False
Desodorante,974.85,True
Óculos de Sol,523.66,False
Colar,224.88,True
Desktop,924.31,True
Monitor 360Hz,759.23,False
Colar,180.53,False
Guarda-Roupa Infantil,691.14,True
Sofá-Cama,927.62,False
Creme Anti-Irritação,675.23,False
Recipiente de Papel,663.03,False
Sofá 3 Lugares,177.3,False
Monitor Gamer,277.12,False
Carteira,571.23,False
Camisa,356.32,False
Creme Anti-Celulite,970.66,False
Protetor Labial,142.51,False
Protetor Labial,74.91,True
Cadeira Gamer,226.64,True
Calça,581.26,True
Cama Box,941.56,True
Cama Box Solteiro,325.14,True
Monitor 75Hz,532.92,False
Cadeira Dobrável,99.67,True
Shampoo,201.8,True
Protetor Solar,729.7,False
Cadeira Gamer,639.16,False
Creme Anti-Cravos,227.68,False
Cama Box,967.93,True
Cama Box com Baú e Gavetas,277.61,False
Sabonete,450.06,True
Monitor 165Hz,431.6,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,292.24,True
Guarda-Roupa Solteiro,234.34,True
Creme Anti-Idade,215.42,False
Guarda-Roupa Solteiro,853.16,True
Monitor Curvo,536.14,True
Recipiente de Papel,774.1,True
Creme Anti-Manchas,880.74,True
Guarda-Roupa Casal,642.07,False
Monitor 200Hz,678.85,True
Cama Box Casal,337.68,True
Cama Box com Baú, Gavetas e Cabeceira,561.41,True
Creme Anti-Idade,526.98,True
Creme Anti-Manchas,756.25,False
Creme Anti-Manchas,796.81,True
Mesa de Jantar,155.39,True
Monitor HD,553.29,True
Mesa de Jantar,149.22,True
Monitor Full HD,312.84,True
Creme Dental,760.74,False
Cama Box Solteiro,420.2,False
Cadeira Dobrável,101.06,False
Creme Anti-Cravos,971.47,False
Monitor Gamer,257.08,True
Cinto,628.45,True
Cama Box com Baú, Cabeceira e Criado-Mudo,326.22,True
Recipiente de Plástico,842.15,True
Cama Box Queen Size,784.81,True
Guarda-Roupa Solteiro,539.77,False
Cama Box com Baú e Cabeceira,761.12,False
Monitor 200Hz,838.96,True
Brinco,704.03,False
Recipiente de Plástico,531.61,True
Guarda-Roupa Casal,273.64,False
Cadeira de Jantar,520.09,True
Creme Anti-Ressecamento,960.64,True
Mini PC,53.92,True
Creme Anti-Olheiras,725.68,False
Shampoo,217.9,True
All-in-One,948.77,False
Netbook,414.87,True
Creme Anti-Irritação,193.74,True
Guarda-Roupa Solteiro,646.25,True
Cadeira Dobrável,195.3,False
Recipiente de Vidro,126.27,True
Cama Box com Baú, Gavetas e Criado-Mudo,295.07,False
Monitor Touchscreen,51.59,True
Protetor Solar,513.57,False
Creme Anti-Ressecamento,502.56,False
Relógio,449.51,False
Chapéu,985.73,False
Computador,433.66,True
Guarda-Roupa,298.48,False
Sofá,590.02,False
Sofá-Cama,925.29,False
Creme Anti-Manchas,887.24,True
Cama Box com Baú e Gavetas,402.4,True
Óculos de Grau,53.78,True
Monitor Ultrawide,812.47,True
Netbook,719.87,False
Monitor 75Hz,856.84,True
Monitor Full HD,337.94,False
Condicionador,357.5,True
Monitor 280Hz,216.89,True
Ultrabook,630.91,False
Cadeira de Jantar,603.74,False
Cama Box com Gavetas e Criado-Mudo,980.52,False
Sabonete,381.05,True
Monitor 120Hz,890.72,True
Cama Box Baú,831.07,True
Cama Box com Baú, Cabeceira e Criado-Mudo,834.31,False
Monitor 120Hz,396.4,False
Cadeira Dobrável,318.66,True
Cadeira de Escritório,592.55,True
Creme Anti-Acne,399.65,True
Guarda-Roupa Planejado,701.13,True
Guarda-Roupa Embutido,545.01,True
Monitor 165Hz,146.96,False
Mini PC,355.71,False
Mesa de Escritório,83.36,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,268.72,False
Guarda-Roupa Casal,603.61,True
Guarda-Roupa,237.42,True
Cadeira de Jantar,84.69,False
Guarda-Roupa Solteiro,802.85,True
Cama Box,295.72,False
Monitor Full HD,520.77,True
Sofá 3 Lugares,789.59,True
Sofá-Cama,370.74,False
Monitor Touchscreen,550.86,True
Creme Anti-Ressecamento,622.93,True
Cadeira de Jantar,442.02,True
Guarda-Roupa Casal,66.58,False
Monitor HD,70.94,False
Guarda-Roupa Embutido,436.89,False
Creme Anti-Acne,348.06,False
Bermuda,789.21,True
Mochila,549.39,True
Recipiente de Alimento,822.56,True
Monitor 120Hz,480.47,False
Mini PC,90.47,False
Cama Box Casal,645.38,False
Chapéu,717.19,True
Bolsa,343.5,True
Monitor 60Hz,67.1,False
Recipiente de Alimento,513.43,True
Cadeira de Praia,644.47,True
Cama Box com Cabeceira,515.06,True
Cama Box com Cabeceira e Criado-Mudo,443.94,True
Recipiente de Higiene,75.15,False
Cama Box com Baú e Criado-Mudo,133.33,True
Macbook,312.89,True
Creme Anti-Manchas,719.05,True
Creme Anti-Irritação,515.68,False
Monitor 144Hz,232.78,True
Cama Box Casal,154.16,False
Creme Anti-Estrias,702.08,True
Perfume,960.89,False
Creme Anti-Irritação,174.13,True
Cama Box Casal,906.37,True
Monitor 144Hz,381.96,True
Guarda-Roupa Infantil,926.89,False
Chapéu,370.75,False
Creme Anti-Envelhecimento,807.32,True
Monitor 75Hz,159.4,False
Cadeira de Escritório,832.87,False
Hidratante,91.23,True
Ultrabook,773.22,False
Bermuda,724.56,False
Cadeira de Jantar,196.55,False
Mesa de Escritório,693.59,False
Sofá 2 Lugares,562.03,True
Monitor Curvo,276.9,True
Protetor Solar,906.9,False
Creme Anti-Espinhas,802.5,True
Cama Box Casal,816.62,False
Recipiente de Alimento,314.44,False
Creme Anti-Idade,595.08,True
Recipiente de Papel,367.94,False
Creme Anti-Celulite,172.9,False
Recipiente de Bebida,241.32,True
Cama Box com Baú e Criado-Mudo,267.11,False
Cadeira Dobrável,434.87,True
Sofá 3 Lugares,891.53,True
Creme Anti-Irritação,670.74,False
Creme Anti-Inflamação,892.61,False
Monitor 240Hz,834.76,False
Creme Anti-Rugas,220.68,False
Carteira,692.12,True
Camisa,810.27,False
Cama Box Solteiro,456.19,True
Hidratante,666.09,False
Monitor Full HD,466.82,True
Guarda-Roupa Infantil,626.73,True
Cama Box com Baú, Gavetas e Cabeceira,879.71,True
Fio Dental,796.08,False
Desodorante,149.41,True
Creme Anti-Inflamação,161.19,False
Cama Box com Gavetas e Criado-Mudo,465.7,True
Recipiente de Bebida,857.11,True
Cama Box com Gavetas, Cabeceira e Criado-Mudo,600.0,True
Mini PC,91.64,False
Cama Box Queen Size,773.99,True
Protetor Solar,263.74,True
Creme Anti-Estrias,731.78,True
Hidratante,999.52,False
Anel,518.97,False
Monitor 360Hz,830.89,False
Protetor Solar,406.09,True
Boné,970.88,False
Cama Box Casal,846.03,True
Cadeira Dobrável,628.77,True
Creme Dental,794.49,False
Recipiente de Limpeza,865.6,False
Sofá 4 Lugares,370.31,True
Monitor Ultrawide,751.57,True
Cama Box Casal,643.17,False
Recipiente de Limpeza,892.82,True
Macbook,264.83,False
Monitor 200Hz,195.62,False
Sofá 3 Lugares,283.37,True
Guarda-Roupa Solteiro,353.75,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,590.71,False
Monitor Gamer,138.21,True
Cinto,749.27,False
Anel,203.96,False
Recipiente de Plástico,902.65,False
Cama Box,337.07,False
Cama Box com Baú e Gavetas,124.78,True
Creme Anti-Celulite,844.42,True
Recipiente de Higiene,790.37,True
Mini PC,956.18,False
Cinto,977.68,True
Monitor 60Hz,982.08,True
Creme Anti-Inflamação,315.97,False
Sofá-Cama,541.89,False
Creme Anti-Olheiras,901.56,False
Cama Box com Baú, Gavetas e Criado-Mudo,903.71,False
Sofá,640.27,True
Desktop,778.1,False
Monitor 60Hz,660.99,False
Cama Box com Gavetas,751.03,False
Sofá de Canto,791.05,True
Protetor Labial,677.02,False
Creme Anti-Espinhas,772.77,False
Sofá,493.82,True
Hidratante,156.3,False
Anel,417.29,True
Cama Box Baú,751.24,True
Monitor Ultrawide,757.6,True
All-in-One,130.84,False
Protetor Solar,712.73,True
Monitor,67.74,True
Cama Box com Cabeceira,138.8,False
Desodorante,407.11,True
Creme Anti-Cravos,786.89,False
Cama Box Casal,352.09,False
Protetor Labial,672.25,False
Brinco,402.48,True
Camisa,55.69,False
Computador,177.1,True
Cama Box com Gavetas, Cabeceira e Criado-Mudo,287.51,True
Monitor 144Hz,623.63,True
Creme Anti-Irritação,442.21,True
Recipiente de Vidro,787.12,True
Monitor 280Hz,848.76,False
Camisa,235.03,True
Monitor 360Hz,638.79,False
Monitor 120Hz,674.43,False
Colar,939.97,True
Guarda-Roupa,318.9,True
Perfume,229.53,True
Hidratante,765.91,True
Macbook,114.05,True
Monitor Curvo,516.94,True
Sofá 2 Lugares,668.95,False
Colar,156.81,False
Creme Anti-Ressecamento,135.57,True
Mesa de Centro,658.43,True
Monitor Gamer,214.0,False
Sofá 2 Lugares,719.33,False
Fio Dental,661.61,True
Mesa de Jantar,221.89,True
Cama Box com Gavetas, Cabeceira e Criado-Mudo,279.44,True
Camisa,876.48,True
Colar,468.09,True
Recipiente de Lixo,424.49,True
Recipiente de Higiene,327.83,True
Recipiente de Limpeza,721.11,True
Monitor 4K,870.44,False
Sofá 3 Lugares,989.72,True
Cama Box com Cabeceira e Criado-Mudo,825.8,False
Creme Anti-Cravos,656.78,False
Creme Anti-Idade,604.2,True
Guarda-Roupa Casal,491.32,True
Recipiente de Higiene,292.61,True
Sofá-Cama,998.14,False
Cama Box com Cabeceira,365.41,True
Monitor HD,51.6,True
Cadeira Dobrável,340.0,False
Creme Anti-Manchas,243.58,True
Netbook,683.09,False
Camisa,548.44,False
Creme Anti-Irritação,59.01,True
Fio Dental,214.7,False
Tenis,756.42,True
Creme Anti-Celulite,160.92,False
Creme Anti-Irritação,235.44,False
Desktop,629.33,False
Recipiente de Alimento,125.99,True
Cama Box com Baú, Gavetas e Cabeceira,374.35,True
Creme Anti-Envelhecimento,494.04,False
Condicionador,497.44,False
Chapéu,127.59,True
Desktop,342.26,False
Guarda-Roupa Infantil,419.92,False
Cama Box Solteiro,528.72,False
Tenis,608.86,True
Cadeira Dobrável,215.72,False
Cama Box com Gavetas e Cabeceira,156.69,False
Cama Box com Baú e Cabeceira,156.35,False
Hidratante,986.31,False
Recipiente de Alimento,995.96,False
Creme Anti-Inflamação,886.71,False
Hidratante,451.16,False
Creme Anti-Irritação,955.12,True
Sofá 2 Lugares,62.04,True
Guarda-Roupa,434.39,False
Creme Anti-Inflamação,536.53,False
Fio Dental,597.0,False
Cama Box,531.82,True
Relógio,889.54,True
Monitor 75Hz,863.79,False
Monitor Full HD,738.69,True
Monitor Full HD,498.79,False
Sabonete,696.8,True
Protetor Labial,687.32,True
Creme Anti-Manchas,738.79,True
Mini PC,434.37,False
Cadeira Gamer,913.19,False
Sabonete,376.14,False
Pulseira,227.09,False
Sofá 3 Lugares,311.49,True
Monitor Full HD,191.04,True
Guarda-Roupa Casal,473.44,False
Creme Anti-Irritação,567.95,True
Monitor 240Hz,914.02,False
Sofá,998.08,False
Cama Box com Baú, Gavetas e Cabeceira,886.61,True
Computador,307.17,False
Mesa de Jantar,678.49,False
Cama Box com Cabeceira e Criado-Mudo,404.95,True
Monitor Full HD,919.18,True
Cama Box com Baú e Cabeceira,855.83,True
Sofá 4 Lugares,463.97,False
Creme Anti-Estrias,291.05,True
Mesa de Centro,404.29,False
Creme Anti-Irritação,164.87,False
Cama Box com Gavetas, Cabeceira e Criado-Mudo,865.13,True
Notebook,269.4,True
Creme Anti-Inflamação,438.72,True
Cama Box com Baú, Gavetas e Cabeceira,832.9,False
Fio Dental,107.57,False
Relógio,585.78,True
Monitor Ultrawide,137.18,True
Creme Anti-Olheiras,866.41,True
Recipiente de Bebida,832.67,True
Recipiente de Vidro,86.78,False
Cama Box Baú,359.63,True
Mesa de Jantar,783.8,True
Sofá de Canto,872.34,False
Cama Box com Gavetas e Cabeceira,427.51,False
Creme Anti-Irritação,530.09,True
Recipiente de Bebida,162.77,False
Óculos de Grau,273.83,True
Creme Anti-Envelhecimento,668.31,False
Cama Box com Cabeceira e Criado-Mudo,489.35,False
Creme Anti-Rugas,932.14,True
Recipiente de Bebida,728.76,True
Cama Box com Baú, Gavetas e Criado-Mudo,222.31,True
Recipiente de Papel,547.01,True
Guarda-Roupa,861.92,True
Cadeira Dobrável,514.08,True
Pulseira,100.04,True
Monitor 4K,677.87,False
Creme Anti-Ressecamento,434.05,False
Creme Anti-Acne,685.26,False
Creme Anti-Espinhas,147.93,False
Bolsa,586.73,True
Recipiente de Lixo,447.77,False
Relógio,421.19,True
Bolsa,698.49,True
Monitor 120Hz,314.74,True
Bolsa,942.74,False
Cama Box com Gavetas,517.7,True
Cama Box com Gavetas e Cabeceira,927.82,False
Cama Box com Baú, Gavetas e Cabeceira,432.25,True
Protetor Solar,426.65,True
Creme Anti-Ressecamento,360.97,False
Creme Anti-Cravos,56.76,True
Monitor 360Hz,547.11,True
Hidratante,324.66,True
Creme Anti-Ressecamento,887.56,True
Monitor 240Hz,441.44,False
Calça,741.88,False
Óculos de Grau,531.56,False
Notebook,559.5,False
Mesa de Escritório,657.45,False
Creme Anti-Olheiras,450.35,True
Óculos de Grau,109.61,False
Netbook,50.5,False
Cama Box com Gavetas e Cabeceira,532.17,True
Guarda-Roupa Infantil,922.83,True
Cama Box com Gavetas e Criado-Mudo,173.4,False
Pulseira,214.32,False
Carteira,142.8,True
Cama Box com Baú, Cabeceira e Criado-Mudo,880.44,True
Monitor 144Hz,181.21,False
Monitor 165Hz,725.11,False
Cama Box com Cabeceira,863.74,False
Cama Box King Size,74.16,False
Monitor 280Hz,797.43,True
Cama Box com Criado-Mudo,246.43,True
Mesa de Escritório,775.44,False
Notebook,107.5,False
Cama Box com Baú, Cabeceira e Criado-Mudo,193.68,True
Monitor 4K,932.38,False
Monitor 60Hz,297.99,False
Ultrabook,404.03,False
Cama Box Queen Size,671.0,False
Recipiente de Vidro,322.35,True
Sofá 3 Lugares,471.87,True
Cama Box com Baú, Gavetas e Criado-Mudo,682.21,True
Sofá de Canto,477.83,True
Creme Anti-Celulite,861.91,True
Cadeira Dobrável,201.51,False
Creme Anti-Rugas,481.61,False
Creme Anti-Celulite,437.88,True
Fio Dental,791.14,False
Protetor Solar,585.47,True
Colar,255.82,True
Guarda-Roupa Embutido,580.98,True
Monitor 200Hz,443.61,True
Sofá 2 Lugares,569.17,False
Mesa de Centro,807.09,True
Protetor Labial,142.91,False
Cama Box King Size,796.3,False
Creme Anti-Estrias,101.5,True
Cama Box com Baú, Gavetas e Criado-Mudo,535.3,True
Computador,652.86,True
Cama Box com Gavetas, Cabeceira e Criado-Mudo,494.98,True
Sofá 3 Lugares,541.87,False
Cama Box com Gavetas e Criado-Mudo,680.65,True
Mini PC,336.18,False
Cama Box King Size,507.23,False
Monitor Curvo,993.39,False
Anel,362.88,True
Cama Box com Baú, Cabeceira e Criado-Mudo,608.19,True
Monitor Full HD,132.05,False
Cama Box com Baú e Gavetas,100.1,True
Anel,193.21,True
Guarda-Roupa Casal,759.24,False
Monitor 240Hz,947.33,False
Cama Box com Gavetas,473.61,True
Guarda-Roupa Infantil,808.38,False
Creme Anti-Cravos,504.16,False
Recipiente de Limpeza,440.4,False
Sofá 3 Lugares,835.6,True
Perfume,569.17,False
Pulseira,928.11,False
Óculos de Grau,322.56,True
Cama Box com Cabeceira,104.69,True
Cadeira Dobrável,213.07,True
Hidratante,297.75,False
Sofá de Canto,288.16,True
Carteira,902.95,False
Óculos de Grau,387.27,False
Cinto,631.69,False
Monitor Gamer,566.55,False
Cadeira de Jantar,428.2,False
Cama Box com Cabeceira,291.58,False
Óculos de Sol,192.04,False
Condicionador,54.13,False
Monitor Full HD,79.32,True
Recipiente de Papel,728.1,False
Óculos de Grau,525.51,True
Monitor Curvo,203.37,False
Monitor 144Hz,471.29,False
Guarda-Roupa Infantil,120.55,True
Mesa de Escritório,605.32,False
Óculos de Sol,796.8,True
Creme Anti-Rugas,252.89,False
Mochila,829.22,True
Computador,548.16,True
Cama Box Casal,970.96,False
Cama Box com Gavetas e Cabeceira,419.27,False
Sofá 2 Lugares,781.87,False
Recipiente de Limpeza,599.49,False
Cadeira Gamer,105.96,False
Cadeira Gamer,920.25,True
Monitor 165Hz,152.76,False
Brinco,995.91,False
Pulseira,322.67,False
Creme Anti-Idade,168.34,True
Óculos de Grau,202.04,False
Creme Anti-Celulite,601.47,False
Cama Box com Criado-Mudo,805.46,True
Ultrabook,857.29,False
Cinto,725.37,False
Recipiente de Higiene,591.72,False
Óculos de Sol,794.24,False
Monitor Full HD,438.02,False
Recipiente de Papel,351.14,False
Cadeira de Escritório,868.26,True
Cama Box com Gavetas,933.98,False
Óculos de Sol,435.77,True
Monitor,493.5,True
Creme Anti-Manchas,950.5,True
Bermuda,141.75,True
Recipiente de Plástico,854.56,False
Chapéu,92.57,False
Cama Box com Baú, Gavetas e Cabeceira,673.34,True
Condicionador,779.79,True
Mesa de Jantar,556.9,True
Cama Box,442.3,True
Condicionador,273.7,True
Recipiente de Vidro,452.72,True
Monitor Full HD,202.39,True
Monitor 200Hz,184.88,True
Creme Anti-Espinhas,994.37,False
Recipiente de Limpeza,234.21,True
Mini PC,99.12,False
Sabonete,490.86,True
Notebook,673.83,True
Creme Anti-Irritação,977.08,True
Recipiente de Lixo,726.99,False
Mochila,951.89,True
Guarda-Roupa Planejado,996.7,True
Cama Box com Criado-Mudo,792.09,False
Cama Box com Gavetas,505.16,False
Recipiente de Lixo,395.6,False
Cama Box Baú,141.08,False
Recipiente de Lixo,653.26,False
Monitor 75Hz,346.69,True
Creme Anti-Rugas,549.72,False
Creme Anti-Envelhecimento,687.91,False
Recipiente de Papel,531.64,False
Recipiente de Alimento,176.34,False
Mesa de Escritório,484.06,False
Guarda-Roupa Embutido,389.98,True
Creme Anti-Acne,408.54,True
Cama Box com Baú e Gavetas,677.04,True
Cama Box Queen Size,138.79,True
All-in-One,824.49,True
Creme Anti-Inflamação,795.95,False
Cadeira de Escritório,866.97,True
Cama Box com Baú e Cabeceira,156.44,False
Cama Box King Size,363.1,False
Perfume,310.58,False
Hidratante,467.19,False
Guarda-Roupa Casal,511.21,False
Guarda-Roupa Solteiro,951.44,False
Guarda-Roupa Solteiro,904.01,False
Monitor 360Hz,313.92,True
Perfume,249.03,False
Macbook,119.23,False
Monitor 200Hz,72.1,False
Monitor 120Hz,694.83,True
Guarda-Roupa Casal,447.83,True
Protetor Labial,873.72,True
Mesa de Centro,88.2,True
Hidratante,405.9,False
Cama Box com Baú e Criado-Mudo,964.91,False
Creme Anti-Inflamação,932.13,True
Cadeira Dobrável,968.31,True
Mini PC,98.73,False
Mini PC,578.85,False
Notebook,549.65,False
Sabonete,889.79,False
Mesa de Centro,187.06,False
Cama Box com Gavetas e Cabeceira,800.06,False
Guarda-Roupa Infantil,895.59,False
Sofá 3 Lugares,855.15,True
Bermuda,211.02,False
Bolsa,697.48,True
Creme Anti-Ressecamento,752.48,True
Sofá 3 Lugares,185.94,True
Camisa,379.47,True
Cama Box com Gavetas e Cabeceira,441.88,False
Recipiente de Higiene,199.91,True
Escova de Dente,967.11,False
Monitor 280Hz,885.67,False
Guarda-Roupa Solteiro,634.21,False
Creme Anti-Irritação,114.02,True
Sofá 2 Lugares,170.21,True
Perfume,571.33,False
Cadeira Gamer,437.78,True
Recipiente de Bebida,731.68,False
Monitor 60Hz,63.38,False
Netbook,392.17,True
Cama Box King Size,941.06,False
Cama Box com Baú, Gavetas e Cabeceira,615.91,False
Recipiente de Lixo,746.09,True
Monitor 240Hz,238.38,True
Cama Box com Baú, Gavetas e Cabeceira,989.62,False
Macbook,494.84,False
Monitor 200Hz,664.94,False
Monitor Ultrawide,489.94,False
Cama Box com Baú, Cabeceira e Criado-Mudo,451.51,True
Cama Box Queen Size,834.71,True
Cama Box,537.13,True
Creme Anti-Inflamação,203.96,True
Monitor 240Hz,134.63,False
Cama Box Queen Size,174.11,False
Colar,610.61,False
Creme Anti-Acne,679.27,False
Monitor Ultrawide,582.36,True
Relógio,949.93,True
Cama Box com Baú e Cabeceira,797.72,False
Sofá de Canto,758.66,False
Recipiente de Higiene,923.57,True
Calça,798.13,True
Monitor HD,437.24,False
Creme Anti-Irritação,936.22,True
Creme Anti-Inflamação,572.18,False
Anel,989.3,False
Cinto,845.91,False
Creme Anti-Acne,750.86,False
Cama Box com Baú e Criado-Mudo,453.17,False
Cadeira Gamer,410.2,True
Sofá 2 Lugares,450.99,False
Cama Box com Criado-Mudo,319.62,True
Monitor 120Hz,551.49,True
Anel,554.2,False
Bermuda,347.65,False
Sofá 2 Lugares,589.02,False
Monitor Curvo,585.48,False
Recipiente de Lixo,577.54,False
Cadeira Gamer,464.49,False
Monitor 60Hz,447.29,False
